@relation 'prediccion_agotamiento_con_id-weka.filters.unsupervised.attribute.NumericToNominal-R10-weka.filters.unsupervised.attribute.NominalToString-C10-weka.filters.unsupervised.attribute.StringToNominal-R10-weka.filters.unsupervised.attribute.Remove-R1,3-weka.filters.unsupervised.attribute.Remove-R1'

@attribute anio numeric
@attribute mes numeric
@attribute entradas_mes numeric
@attribute salidas_mes numeric
@attribute consumo_promedio_3m numeric
@attribute stock_actual numeric
@attribute agotado {no,si}

@data
2025,3,1057,0,0,68663,no
2025,4,0,0,0,68663,no
2025,5,0,0,0,68663,no
2025,6,501,0,0,69164,no
2025,7,2861,0,0,72025,no
2025,8,0,0,0,72025,no
2025,9,0,0,0,72025,no
2025,10,1631,0,0,73656,no
2025,11,0,0,0,73656,no
2020,1,1739,0,0,2400,no
2020,2,0,0,0,2400,no
2020,3,1488,0,0,3888,no
2020,4,1114,0,0,5002,no
2020,5,1242,0,0,6244,no
2020,6,0,0,0,6244,no
2020,7,4224,0,0,10468,no
2020,8,0,0,0,10468,no
2020,9,1685,0,0,12153,no
2020,10,1549,0,0,13702,no
2020,11,1587,0,0,15289,no
2020,12,976,0,0,16265,no
2021,1,0,0,0,16265,no
2021,2,676,0,0,16941,no
2021,3,0,0,0,16941,no
2021,4,1151,0,0,18092,no
2021,5,2234,0,0,20326,no
2021,6,1859,0,0,22185,no
2021,7,3018,0,0,25203,no
2021,8,0,0,0,25203,no
2021,9,109,0,0,25312,no
2021,10,0,0,0,25312,no
2021,11,1086,0,0,26398,no
2021,12,0,0,0,26398,no
2022,1,5181,0,0,31579,no
2022,2,4644,0,0,36223,no
2022,3,3359,0,0,39582,no
2022,4,0,0,0,39582,no
2022,5,2580,0,0,42162,no
2022,6,0,0,0,42162,no
2022,7,2545,0,0,44707,no
2022,8,1242,0,0,45949,no
2022,9,0,0,0,45949,no
2022,10,0,0,0,45949,no
2022,11,2719,0,0,48668,no
2022,12,4064,0,0,52732,no
2023,1,1570,0,0,54302,no
2023,2,458,0,0,54760,no
2023,3,0,0,0,54760,no
2023,4,0,0,0,54760,no
2023,5,0,0,0,54760,no
2023,6,0,0,0,54760,no
2023,7,3877,0,0,58637,no
2023,8,0,0,0,58637,no
2023,9,1317,0,0,59954,no
2023,10,98,0,0,60052,no
2023,11,1400,0,0,61452,no
2023,12,191,0,0,61643,no
2024,1,3138,0,0,64781,no
2024,2,2561,0,0,67342,no
2024,3,237,0,0,67579,no
2024,4,1016,0,0,68595,no
2024,5,0,0,0,68595,no
2024,6,0,0,0,68595,no
2024,7,4735,0,0,73330,no
2024,8,1655,0,0,74985,no
2024,9,1046,0,0,76031,no
2024,10,0,0,0,76031,no
2024,11,7042,0,0,83073,no
2024,12,1022,0,0,84095,no
2025,1,3614,0,0,87709,no
2025,2,0,0,0,87709,no
2025,3,0,0,0,87709,no
2025,4,854,0,0,88563,no
2025,5,1587,0,0,90150,no
2025,6,0,0,0,90150,no
2025,7,1584,0,0,91734,no
2025,8,0,0,0,91734,no
2025,9,683,0,0,92417,no
2025,10,913,0,0,93330,no
2025,11,0,0,0,93330,no
2020,1,426,0,0,574,no
2020,2,1072,0,0,1646,no
2020,3,409,0,0,2055,no
2020,4,0,0,0,2055,no
2020,5,0,0,0,2055,no
2020,6,0,0,0,2055,no
2020,7,839,0,0,2894,no
2020,8,526,0,0,3420,no
2020,9,0,0,0,3420,no
2020,10,509,0,0,3929,no
2020,11,642,0,0,4571,no
2020,12,336,0,0,4907,no
2021,1,431,0,0,5338,no
2021,2,925,0,0,6263,no
2021,3,439,0,0,6702,no
2021,4,0,0,0,6702,no
2021,5,0,0,0,6702,no
2021,6,0,0,0,6702,no
2021,7,623,0,0,7325,no
2021,8,0,0,0,7325,no
2021,9,154,0,0,7479,no
2021,10,0,0,0,7479,no
2021,11,335,0,0,7814,no
2021,12,208,0,0,8022,no
2022,1,145,0,0,8167,no
2022,2,343,0,0,8510,no
2022,3,817,0,0,9327,no
2022,4,364,0,0,9691,no
2022,5,177,0,0,9868,no
2022,6,0,0,0,9868,no
2022,7,498,0,0,10366,no
2022,8,0,0,0,10366,no
2022,9,0,0,0,10366,no
2022,10,0,0,0,10366,no
2022,11,617,0,0,10983,no
2022,12,248,0,0,11231,no
2023,1,497,0,0,11728,no
2023,2,1335,0,0,13063,no
2023,3,715,0,0,13778,no
2023,4,0,0,0,13778,no
2023,5,0,0,0,13778,no
2023,6,0,0,0,13778,no
2023,7,0,0,0,13778,no
2023,8,136,0,0,13914,no
2023,9,281,0,0,14195,no
2023,10,16,0,0,14211,no
2023,11,298,0,0,14509,no
2023,12,1001,0,0,15510,no
2024,1,240,0,0,15750,no
2024,2,0,0,0,15750,no
2024,3,805,0,0,16555,no
2024,4,466,0,0,17021,no
2024,5,254,0,0,17275,no
2024,6,0,0,0,17275,no
2024,7,0,0,0,17275,no
2024,8,0,0,0,17275,no
2024,9,0,0,0,17275,no
2024,10,0,0,0,17275,no
2024,11,343,0,0,17618,no
2024,12,807,0,0,18425,no
2025,1,775,0,0,19200,no
2025,2,0,0,0,19200,no
2025,3,1302,0,0,20502,no
2025,4,0,0,0,20502,no
2025,5,424,0,0,20926,no
2025,6,0,0,0,20926,no
2025,7,1274,0,0,22200,no
2025,8,136,0,0,22336,no
2025,9,0,0,0,22336,no
2025,10,51,0,0,22387,no
2025,11,0,0,0,22387,no
2020,1,279,0,0,352,no
2020,2,672,0,0,1024,no
2020,3,692,0,0,1716,no
2020,4,0,0,0,1716,no
2020,5,0,0,0,1716,no
2020,6,586,0,0,2302,no
2020,7,1062,0,0,3364,no
2020,8,0,0,0,3364,no
2020,9,0,0,0,3364,no
2020,10,0,0,0,3364,no
2020,11,644,0,0,4008,no
2020,12,339,0,0,4347,no
2021,1,559,0,0,4906,no
2021,2,455,0,0,5361,no
2021,3,0,0,0,5361,no
2021,4,657,0,0,6018,no
2021,5,0,0,0,6018,no
2021,6,88,0,0,6106,no
2021,7,932,0,0,7038,no
2021,8,0,0,0,7038,no
2021,9,209,0,0,7247,no
2021,10,834,0,0,8081,no
2021,11,133,0,0,8214,no
2021,12,476,0,0,8690,no
2022,1,28,0,0,8718,no
2022,2,272,0,0,8990,no
2022,3,470,0,0,9460,no
2022,4,639,0,0,10099,no
2022,5,0,0,0,10099,no
2022,6,0,0,0,10099,no
2022,7,31,0,0,10130,no
2022,8,795,0,0,10925,no
2022,9,0,0,0,10925,no
2022,10,0,0,0,10925,no
2022,11,290,0,0,11215,no
2022,12,963,0,0,12178,no
2023,1,0,0,0,12178,no
2023,2,327,0,0,12505,no
2023,3,392,0,0,12897,no
2023,4,0,0,0,12897,no
2023,5,188,0,0,13085,no
2023,6,0,0,0,13085,no
2023,7,477,0,0,13562,no
2023,8,468,0,0,14030,no
2023,9,414,0,0,14444,no
2023,10,275,0,0,14719,no
2023,11,672,0,0,15391,no
2023,12,0,0,0,15391,no
2024,1,771,0,0,16162,no
2024,2,339,0,0,16501,no
2024,3,532,0,0,17033,no
2024,4,0,0,0,17033,no
2024,5,0,0,0,17033,no
2024,6,0,0,0,17033,no
2024,7,342,0,0,17375,no
2024,8,299,0,0,17674,no
2024,9,0,0,0,17674,no
2024,10,0,0,0,17674,no
2024,11,73,0,0,17747,no
2024,12,515,0,0,18262,no
2025,1,195,0,0,18457,no
2025,2,0,0,0,18457,no
2025,3,472,0,0,18929,no
2025,4,0,0,0,18929,no
2025,5,0,0,0,18929,no
2025,6,0,0,0,18929,no
2025,7,1500,0,0,20429,no
2025,8,451,0,0,20880,no
2025,9,0,0,0,20880,no
2025,10,0,0,0,20880,no
2025,11,0,0,0,20880,no
2020,1,748,0,0,1332,no
2020,2,0,0,0,1332,no
2020,3,654,0,0,1986,no
2020,4,1434,0,0,3420,no
2020,5,0,0,0,3420,no
2020,6,0,0,0,3420,no
2020,7,0,0,0,3420,no
2020,8,84,0,0,3504,no
2020,9,0,0,0,3504,no
2020,10,0,0,0,3504,no
2020,11,3229,0,0,6733,no
2020,12,1007,0,0,7740,no
2021,1,2451,0,0,10191,no
2021,2,0,0,0,10191,no
2021,3,655,0,0,10846,no
2021,4,1535,0,0,12381,no
2021,5,1827,0,0,14208,no
2021,6,685,0,0,14893,no
2021,7,3274,0,0,18167,no
2021,8,0,0,0,18167,no
2021,9,0,0,0,18167,no
2021,10,0,0,0,18167,no
2021,11,2155,0,0,20322,no
2021,12,2797,0,0,23119,no
2022,1,81,0,0,23200,no
2022,2,0,0,0,23200,no
2022,3,1355,0,0,24555,no
2022,4,0,0,0,24555,no
2022,5,473,0,0,25028,no
2022,6,1472,0,0,26500,no
2022,7,6907,0,0,33407,no
2022,8,0,0,0,33407,no
2022,9,0,0,0,33407,no
2022,10,0,0,0,33407,no
2022,11,3418,0,0,36825,no
2022,12,2324,0,0,39149,no
2023,1,0,0,0,39149,no
2023,2,3165,0,0,42314,no
2023,3,718,0,0,43032,no
2023,4,0,0,0,43032,no
2023,5,0,0,0,43032,no
2023,6,0,0,0,43032,no
2023,7,5402,0,0,48434,no
2023,8,3350,0,0,51784,no
2023,9,0,0,0,51784,no
2023,10,0,0,0,51784,no
2023,11,3199,0,0,54983,no
2023,12,3394,0,0,58377,no
2024,1,2093,0,0,60470,no
2024,2,631,0,0,61101,no
2024,3,1763,0,0,62864,no
2024,4,680,0,0,63544,no
2024,5,0,0,0,63544,no
2024,6,0,0,0,63544,no
2024,7,1577,0,0,65121,no
2024,8,0,0,0,65121,no
2024,9,0,0,0,65121,no
2024,10,0,0,0,65121,no
2024,11,2538,0,0,67659,no
2024,12,1243,0,0,68902,no
2025,1,2928,0,0,71830,no
2025,2,0,0,0,71830,no
2025,3,698,0,0,72528,no
2025,4,0,0,0,72528,no
2025,5,0,0,0,72528,no
2025,6,0,0,0,72528,no
2025,7,1773,0,0,74301,no
2025,8,810,0,0,75111,no
2025,9,0,0,0,75111,no
2025,10,0,0,0,75111,no
2025,11,700,0,0,75811,no
2020,1,403,0,0,508,no
2020,2,961,0,0,1469,no
2020,3,0,0,0,1469,no
2020,4,0,0,0,1469,no
2020,5,0,0,0,1469,no
2020,6,0,0,0,1469,no
2020,7,0,0,0,1469,no
2020,8,0,0,0,1469,no
2020,9,257,0,0,1726,no
2020,10,132,0,0,1858,no
2020,11,809,0,0,2667,no
2020,12,885,0,0,3552,no
2021,1,544,0,0,4096,no
2021,2,228,0,0,4324,no
2021,3,312,0,0,4636,no
2021,4,0,0,0,4636,no
2021,5,0,0,0,4636,no
2021,6,0,0,0,4636,no
2021,7,1145,0,0,5781,no
2021,8,0,0,0,5781,no
2021,9,0,0,0,5781,no
2021,10,0,0,0,5781,no
2021,11,696,0,0,6477,no
2021,12,789,0,0,7266,no
2022,1,0,0,0,7266,no
2022,2,842,0,0,8108,no
2022,3,0,0,0,8108,no
2022,4,0,0,0,8108,no
2022,5,0,0,0,8108,no
2022,6,0,0,0,8108,no
2022,7,224,0,0,8332,no
2022,8,0,0,0,8332,no
2022,9,0,0,0,8332,no
2022,10,344,0,0,8676,no
2022,11,123,0,0,8799,no
2022,12,1210,0,0,10009,no
2023,1,295,0,0,10304,no
2023,2,121,0,0,10425,no
2023,3,71,0,0,10496,no
2023,4,0,0,0,10496,no
2023,5,0,0,0,10496,no
2023,6,239,0,0,10735,no
2023,7,475,0,0,11210,no
2023,8,0,0,0,11210,no
2023,9,0,0,0,11210,no
2023,10,180,0,0,11390,no
2023,11,309,0,0,11699,no
2023,12,875,0,0,12574,no
2024,1,588,0,0,13162,no
2024,2,0,0,0,13162,no
2024,3,469,0,0,13631,no
2024,4,624,0,0,14255,no
2024,5,50,0,0,14305,no
2024,6,0,0,0,14305,no
2024,7,1873,0,0,16178,no
2024,8,0,0,0,16178,no
2024,9,0,0,0,16178,no
2024,10,0,0,0,16178,no
2024,11,1050,0,0,17228,no
2024,12,596,0,0,17824,no
2025,1,756,0,0,18580,no
2025,2,587,0,0,19167,no
2025,3,0,0,0,19167,no
2025,4,0,0,0,19167,no
2025,5,486,0,0,19653,no
2025,6,0,0,0,19653,no
2025,7,566,0,0,20219,no
2025,8,0,0,0,20219,no
2025,9,0,0,0,20219,no
2025,10,0,0,0,20219,no
2025,11,0,0,0,20219,no
2020,1,2107,102,0,2241,no
2020,2,600,165,34,2676,no
2020,3,3386,132,89,5930,no
2020,4,0,42,133,5888,no
2020,5,886,34,113,6740,no
2020,6,1431,50,69.33,8121,no
2020,7,2045,295,42,9871,no
2020,8,0,187,126.33,9684,no
2020,9,897,151,177.33,10430,no
2020,10,1068,67,211,11431,no
2020,11,4395,71,135,15755,no
2020,12,3196,61,96.33,18890,no
2021,1,2839,181,66.33,21548,no
2021,2,3104,159,104.33,24493,no
2021,3,1395,190,133.67,25698,no
2021,4,0,39,176.67,25659,no
2021,5,0,53,129.33,25606,no
2021,6,0,79,94,25527,no
2021,7,1528,142,57,26913,no
2021,8,0,186,91.33,26727,no
2021,9,1239,221,135.67,27745,no
2021,10,120,46,183,27819,no
2021,11,130,38,151,27911,no
2021,12,3962,49,101.67,31824,no
2022,1,1609,200,44.33,33233,no
2022,2,846,176,95.67,33903,no
2022,3,2600,204,141.67,36299,no
2022,4,3197,60,193.33,39436,no
2022,5,1302,25,146.67,40713,no
2022,6,759,98,96.33,41374,no
2022,7,1169,247,61,42296,no
2022,8,0,221,123.33,42075,no
2022,9,0,96,188.67,41979,no
2022,10,1626,32,188,43573,no
2022,11,3085,11,116.33,46647,no
2022,12,3047,26,46.33,49668,no
2023,1,1119,140,23,50647,no
2023,2,1690,109,59,52228,no
2023,3,1981,176,91.67,54033,no
2023,4,0,73,141.67,53960,no
2023,5,0,43,119.33,53917,no
2023,6,0,63,97.33,53854,no
2023,7,4792,174,59.67,58472,no
2023,8,0,179,93.33,58293,no
2023,9,0,158,138.67,58135,no
2023,10,2975,45,170.33,61065,no
2023,11,0,36,127.33,61029,no
2023,12,1990,60,79.67,62959,no
2024,1,1167,184,47,63942,no
2024,2,1567,126,93.33,65383,no
2024,3,3924,183,123.33,69124,no
2024,4,1742,58,164.33,70808,no
2024,5,0,37,122.33,70771,no
2024,6,0,36,92.67,70735,no
2024,7,1527,176,43.67,72086,no
2024,8,0,90,83,71996,no
2024,9,1720,198,100.67,73518,no
2024,10,0,46,154.67,73472,no
2024,11,2255,79,111.33,75648,no
2024,12,4234,92,107.67,79790,no
2025,1,0,208,72.33,79582,no
2025,2,1816,175,126.33,81223,no
2025,3,0,191,158.33,81032,no
2025,4,683,52,191.33,81663,no
2025,5,0,50,139.33,81613,no
2025,6,0,34,97.67,81579,no
2025,7,1975,110,45.33,83444,no
2025,8,0,180,64.67,83264,no
2025,9,0,142,108,83122,no
2025,10,0,68,144,83054,no
2025,11,0,12,130,83042,no
2020,1,983,0,0,1877,no
2020,2,2748,0,0,4625,no
2020,3,1249,0,0,5874,no
2020,4,0,0,0,5874,no
2020,5,0,0,0,5874,no
2020,6,0,0,0,5874,no
2020,7,4542,0,0,10416,no
2020,8,1029,0,0,11445,no
2020,9,0,0,0,11445,no
2020,10,1292,0,0,12737,no
2020,11,1813,0,0,14550,no
2020,12,1650,0,0,16200,no
2021,1,3449,0,0,19649,no
2021,2,1981,0,0,21630,no
2021,3,1320,0,0,22950,no
2021,4,1295,0,0,24245,no
2021,5,0,0,0,24245,no
2021,6,0,0,0,24245,no
2021,7,691,0,0,24936,no
2021,8,0,0,0,24936,no
2021,9,0,0,0,24936,no
2021,10,0,0,0,24936,no
2021,11,1807,0,0,26743,no
2021,12,1774,0,0,28517,no
2022,1,1739,0,0,30256,no
2022,2,1785,0,0,32041,no
2022,3,37,0,0,32078,no
2022,4,0,0,0,32078,no
2022,5,3196,0,0,35274,no
2022,6,1149,0,0,36423,no
2022,7,3937,0,0,40360,no
2022,8,0,0,0,40360,no
2022,9,0,0,0,40360,no
2022,10,1581,0,0,41941,no
2022,11,1757,0,0,43698,no
2022,12,0,0,0,43698,no
2023,1,1603,0,0,45301,no
2023,2,1223,0,0,46524,no
2023,3,2334,0,0,48858,no
2023,4,756,0,0,49614,no
2023,5,1125,0,0,50739,no
2023,6,0,0,0,50739,no
2023,7,433,0,0,51172,no
2023,8,0,0,0,51172,no
2023,9,1490,0,0,52662,no
2023,10,782,0,0,53444,no
2023,11,2764,0,0,56208,no
2023,12,3722,0,0,59930,no
2024,1,2762,0,0,62692,no
2024,2,0,0,0,62692,no
2024,3,3612,0,0,66304,no
2024,4,0,0,0,66304,no
2024,5,0,0,0,66304,no
2024,6,1559,0,0,67863,no
2024,7,0,0,0,67863,no
2024,8,0,0,0,67863,no
2024,9,1955,0,0,69818,no
2024,10,0,0,0,69818,no
2024,11,0,0,0,69818,no
2024,12,6264,0,0,76082,no
2025,1,3028,0,0,79110,no
2025,2,1177,0,0,80287,no
2025,3,1435,0,0,81722,no
2025,4,0,0,0,81722,no
2025,5,0,0,0,81722,no
2025,6,444,0,0,82166,no
2025,7,1732,0,0,83898,no
2025,8,0,0,0,83898,no
2025,9,0,0,0,83898,no
2025,10,2815,0,0,86713,no
2025,11,0,0,0,86713,no
2020,1,2017,0,0,2408,no
2020,2,0,0,0,2408,no
2020,3,1575,0,0,3983,no
2020,4,0,0,0,3983,no
2020,5,0,0,0,3983,no
2020,6,1702,0,0,5685,no
2020,7,1949,0,0,7634,no
2020,8,0,0,0,7634,no
2020,9,1995,0,0,9629,no
2020,10,0,0,0,9629,no
2020,11,0,0,0,9629,no
2020,12,1021,0,0,10650,no
2021,1,0,0,0,10650,no
2021,2,0,0,0,10650,no
2021,3,3092,0,0,13742,no
2021,4,1568,0,0,15310,no
2021,5,696,0,0,16006,no
2021,6,0,0,0,16006,no
2021,7,0,0,0,16006,no
2021,8,0,0,0,16006,no
2021,9,0,0,0,16006,no
2021,10,0,0,0,16006,no
2021,11,80,0,0,16086,no
2021,12,3462,0,0,19548,no
2022,1,958,0,0,20506,no
2022,2,1231,0,0,21737,no
2022,3,3279,0,0,25016,no
2022,4,2485,0,0,27501,no
2022,5,0,0,0,27501,no
2022,6,1687,0,0,29188,no
2022,7,2462,0,0,31650,no
2022,8,0,0,0,31650,no
2022,9,0,0,0,31650,no
2022,10,0,0,0,31650,no
2022,11,6057,0,0,37707,no
2022,12,3556,0,0,41263,no
2023,1,4252,0,0,45515,no
2023,2,519,0,0,46034,no
2023,3,1467,0,0,47501,no
2023,4,0,0,0,47501,no
2023,5,0,0,0,47501,no
2023,6,0,0,0,47501,no
2023,7,1023,0,0,48524,no
2023,8,0,0,0,48524,no
2023,9,0,0,0,48524,no
2023,10,0,0,0,48524,no
2023,11,1457,0,0,49981,no
2023,12,0,0,0,49981,no
2024,1,2952,0,0,52933,no
2024,2,2284,0,0,55217,no
2024,3,170,0,0,55387,no
2024,4,32,0,0,55419,no
2024,5,0,0,0,55419,no
2024,6,458,0,0,55877,no
2024,7,4298,0,0,60175,no
2024,8,985,0,0,61160,no
2024,9,1918,0,0,63078,no
2024,10,2869,0,0,65947,no
2024,11,3763,0,0,69710,no
2024,12,1736,0,0,71446,no
2025,1,1229,0,0,72675,no
2025,2,1404,0,0,74079,no
2025,3,2627,0,0,76706,no
2025,4,1737,0,0,78443,no
2025,5,0,0,0,78443,no
2025,6,0,0,0,78443,no
2025,7,0,0,0,78443,no
2025,8,362,0,0,78805,no
2025,9,1219,0,0,80024,no
2025,10,1489,0,0,81513,no
2025,11,441,0,0,81954,no
2020,1,0,0,0,209,no
2020,2,1829,0,0,2038,no
2020,3,94,0,0,2132,no
2020,4,0,0,0,2132,no
2020,5,1054,0,0,3186,no
2020,6,0,0,0,3186,no
2020,7,0,0,0,3186,no
2020,8,1399,0,0,4585,no
2020,9,0,0,0,4585,no
2020,10,1855,0,0,6440,no
2020,11,922,0,0,7362,no
2020,12,1011,0,0,8373,no
2021,1,3145,0,0,11518,no
2021,2,3533,0,0,15051,no
2021,3,0,0,0,15051,no
2021,4,0,0,0,15051,no
2021,5,336,0,0,15387,no
2021,6,0,0,0,15387,no
2021,7,0,0,0,15387,no
2021,8,0,0,0,15387,no
2021,9,0,0,0,15387,no
2021,10,0,0,0,15387,no
2021,11,186,0,0,15573,no
2021,12,0,0,0,15573,no
2022,1,2816,0,0,18389,no
2022,2,1594,0,0,19983,no
2022,3,3369,0,0,23352,no
2022,4,0,0,0,23352,no
2022,5,1976,0,0,25328,no
2022,6,898,0,0,26226,no
2022,7,490,0,0,26716,no
2022,8,0,0,0,26716,no
2022,9,0,0,0,26716,no
2022,10,1739,0,0,28455,no
2022,11,1127,0,0,29582,no
2022,12,1655,0,0,31237,no
2023,1,3310,0,0,34547,no
2023,2,4064,0,0,38611,no
2023,3,1125,0,0,39736,no
2023,4,0,0,0,39736,no
2023,5,0,0,0,39736,no
2023,6,435,0,0,40171,no
2023,7,1636,0,0,41807,no
2023,8,0,0,0,41807,no
2023,9,0,0,0,41807,no
2023,10,0,0,0,41807,no
2023,11,3156,0,0,44963,no
2023,12,1796,0,0,46759,no
2024,1,1342,0,0,48101,no
2024,2,2258,0,0,50359,no
2024,3,4074,0,0,54433,no
2024,4,0,0,0,54433,no
2024,5,0,0,0,54433,no
2024,6,0,0,0,54433,no
2024,7,1324,0,0,55757,no
2024,8,0,0,0,55757,no
2024,9,0,0,0,55757,no
2024,10,0,0,0,55757,no
2024,11,1722,0,0,57479,no
2024,12,0,0,0,57479,no
2025,1,4670,0,0,62149,no
2025,2,0,0,0,62149,no
2025,3,2055,0,0,64204,no
2025,4,398,0,0,64602,no
2025,5,765,0,0,65367,no
2025,6,2334,0,0,67701,no
2025,7,0,0,0,67701,no
2025,8,0,0,0,67701,no
2025,9,0,0,0,67701,no
2025,10,618,0,0,68319,no
2025,11,1523,0,0,69842,no
2020,1,3362,0,0,4111,no
2020,2,3708,0,0,7819,no
2020,3,2406,0,0,10225,no
2020,4,0,0,0,10225,no
2020,5,0,0,0,10225,no
2020,6,0,0,0,10225,no
2020,7,256,0,0,10481,no
2020,8,741,0,0,11222,no
2020,9,0,0,0,11222,no
2020,10,0,0,0,11222,no
2020,11,2502,0,0,13724,no
2020,12,4386,0,0,18110,no
2021,1,1586,0,0,19696,no
2021,2,2377,0,0,22073,no
2021,3,1988,0,0,24061,no
2021,4,0,0,0,24061,no
2021,5,1152,0,0,25213,no
2021,6,1036,0,0,26249,no
2021,7,1850,0,0,28099,no
2021,8,0,0,0,28099,no
2021,9,0,0,0,28099,no
2021,10,615,0,0,28714,no
2021,11,0,0,0,28714,no
2021,12,2494,0,0,31208,no
2022,1,1778,0,0,32986,no
2022,2,1866,0,0,34852,no
2022,3,5097,0,0,39949,no
2022,4,0,0,0,39949,no
2022,5,0,0,0,39949,no
2022,6,0,0,0,39949,no
2022,7,3327,0,0,43276,no
2022,8,0,0,0,43276,no
2022,9,0,0,0,43276,no
2022,10,0,0,0,43276,no
2022,11,0,0,0,43276,no
2022,12,176,0,0,43452,no
2023,1,2825,0,0,46277,no
2023,2,2284,0,0,48561,no
2023,3,3145,0,0,51706,no
2023,4,0,0,0,51706,no
2023,5,3582,0,0,55288,no
2023,6,0,0,0,55288,no
2023,7,1367,0,0,56655,no
2023,8,0,0,0,56655,no
2023,9,0,0,0,56655,no
2023,10,312,0,0,56967,no
2023,11,140,0,0,57107,no
2023,12,981,0,0,58088,no
2024,1,0,0,0,58088,no
2024,2,93,0,0,58181,no
2024,3,2988,0,0,61169,no
2024,4,0,0,0,61169,no
2024,5,0,0,0,61169,no
2024,6,0,0,0,61169,no
2024,7,2537,0,0,63706,no
2024,8,1253,0,0,64959,no
2024,9,0,0,0,64959,no
2024,10,1955,0,0,66914,no
2024,11,2301,0,0,69215,no
2024,12,6261,0,0,75476,no
2025,1,1797,0,0,77273,no
2025,2,64,0,0,77337,no
2025,3,0,0,0,77337,no
2025,4,0,0,0,77337,no
2025,5,0,0,0,77337,no
2025,6,817,0,0,78154,no
2025,7,0,0,0,78154,no
2025,8,0,0,0,78154,no
2025,9,0,0,0,78154,no
2025,10,0,0,0,78154,no
2025,11,48,0,0,78202,no
2020,1,1470,885,0,1574,no
2020,2,2566,1672,295,2468,no
2020,3,0,1238,852.33,1230,no
2020,4,0,300,1265,930,no
2020,5,2906,351,1070,3485,no
2020,6,287,535,629.67,3237,no
2020,7,1878,1981,395.33,3134,no
2020,8,0,1809,955.67,1325,no
2020,9,1304,1231,1441.67,1398,no
2020,10,0,529,1673.67,869,no
2020,11,0,382,1189.67,487,no
2020,12,335,710,714,112,no
2021,6,1624,530,877,4,no
2021,7,1960,1370,340.67,594,no
2022,1,3405,1113,435.67,344,no
2022,2,1641,1014,667.67,971,no
2022,3,5803,2038,904.67,4736,no
2022,4,1190,463,1388.33,5463,no
2022,5,1630,353,1171.67,6740,no
2022,6,1350,1076,951.33,7014,no
2022,7,928,2542,630.67,5400,no
2022,8,202,2139,1323.67,3463,no
2022,9,0,1183,1919,2280,no
2022,10,0,413,1954.67,1867,no
2022,11,0,126,1245,1741,no
2022,12,346,95,574,1992,no
2023,1,363,1631,211.33,724,no
2023,2,2852,975,617.33,2601,no
2023,3,3800,1405,900.33,4996,no
2023,4,34,663,1337,4367,no
2023,5,2574,498,1014.33,6443,no
2023,6,0,550,855.33,5893,no
2023,7,258,1401,570.33,4750,no
2023,8,0,1173,816.33,3577,no
2023,9,0,1380,1041.33,2197,no
2023,10,1316,328,1318,3185,no
